timestamp,x_position,y_position,heading,x_position_error,y_position_error,heading_error,distance,angle,distance_error,angle_error
5242,-11.758,1055.407,356.633,32.144,53.526,-0.146,1055.473,359.362,-53.648,-1.691
8155,-53.675,931.7,354.175,41.225,-68.105,-0.415,933.245,356.703,69.56,-2.471
11118,-10.956,-950.473,358.214,-51.602,53.694,0.349,950.536,180.66,51.578,-3.33
16961,-38.034,27.043,358.978,32.895,110.244,-0.157,46.668,305.414,-90.715,-52.443
19869,-9.642,949.949,356.251,40.712,-52.914,-0.439,949.998,359.418,52.425,-2.565
22837,-56.386,-976.083,0.942,-50.614,-33.94,0.43,977.71,183.306,-37.964,-2.741
25699,-86.311,-1044.591,3.401,-23.637,-43.912,0.001,1048.15,184.723,-45.891,-1.044
28562,55.301,1074.233,1.209,18.468,71.929,0.289,1075.655,2.947,-72.878,-0.736
31420,57.499,930.357,359.893,49.294,57.793,-0.459,932.132,3.537,-61.772,-2.632
34387,-116.688,-956.33,4.424,-50.433,49.339,0.318,963.423,186.957,41.163,-3.484
40547,-87.626,-694.823,88.365,251.317,-495.392,-1.655,700.327,187.188,-501.092,15.019
